uuid,num_chars,num_letters,num_index_fk,num_grade_fk,num_index_dc,num_grade_dc,num_index_cl,num_grade_cl,num_index_SMOG,num_grade_SMOG,num_index_ari,num_grade_ari,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\0608ccbd-c2c9-4e2b-b0d0-2e525f8154d8.txt,2624,2076,11.292619166815655,10 - 11-й класс (возраст примерно: 15-16 лет),7.17176765599857,7 - 9-й класс (возраст примерно: 12-14 лет),10.758145896656536,10 - 11-й класс (возраст примерно: 15-16 лет),7.928642014966793,7 - 9-й класс (возраст примерно: 12-14 лет),11.175040273556228,10 - 11-й класс (возраст примерно: 15-16 лет),0.7223719676549866,13.913866728251222,9.838589516072322,0.9450297541133598,0.9400856970885051,0.021394412732585136,46.741175488165304,0.8953416149068322,0.8942857142857142,374.1697087378642,1.0,0.9143581111222566,178.73697916666666,1679.4931896995904
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\067aafdf-e531-49fa-bcb9-12456b3e89e2.txt,3406,2755,12.87886872586872,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),8.206187960687961,7 - 9-й класс (возраст примерно: 12-14 лет),13.287936117936113,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),8.785267870071575,7 - 9-й класс (возраст примерно: 12-14 лет),14.052380045630052,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.7062780269058296,14.915682300026921,10.546980100373196,0.9429953882855128,0.9397584234376056,0.021516574821424238,46.4757986947017,0.9030226700251895,0.8975,315.7017835715065,390.3721590909091,0.9116769136694466,165.39166666666668,1636.3538833222055
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\07a5e9ee-5de3-4c27-9d1b-82f5faf1a98b.txt,2871,2291,11.495408568443047,10 - 11-й класс (возраст примерно: 15-16 лет),7.161667711598747,7 - 9-й класс (возраст примерно: 12-14 лет),12.55936781609195,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),8.0471244832127,7 - 9-й класс (возраст примерно: 12-14 лет),13.129666666666665,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.6875,13.75,9.722718241315029,0.9374621269148173,0.9324702625737139,0.024033985877960656,41.607746841401266,0.8638746438746437,0.87,222.62838321578485,266.3445855614973,0.8800424862652947,99.0074441687345,1788.9162440379737
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\192832ff-4cd2-47c7-8bbe-766b1dc1f63e.txt,2613,2118,13.979372714486644,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),10.18245288326301,10 - 11-й класс (возраст примерно: 15-16 лет),13.543417721518985,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),10.81110967704918,10 - 11-й класс (возраст примерно: 15-16 лет),14.200736990154716,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.7348703170028819,13.689117240922984,9.679667629514322,0.9473338810242588,0.9419671335342836,0.020732003269015687,48.234605552784,0.8840939597315455,0.8866666666666667,366.46217391304356,1.0,0.9201457394407242,179.19701492537314,1472.2364001628923
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\1945fb1e-a42d-4ff1-a5f1-33f6e6e05d9a.txt,4612,3699,14.041140677424508,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),9.642161407573095,10 - 11-й класс (возраст примерно: 15-16 лет),12.71833040421793,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),10.629201293103371,10 - 11-й класс (возраст примерно: 15-16 лет),13.282875878734622,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.656957928802589,16.33171513019533,11.548266516968058,0.9346244374922347,0.9341282380013107,0.023423802388035642,42.69161699002284,0.9115641476274157,0.9133333333333332,335.6676131231493,366.3074612549851,0.9259497809327255,211.1328903654485,1302.4612883747807
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\1b6c8459-3117-4b44-bb66-5f6e0c613389.txt,4488,3621,10.983362552864278,10 - 11-й класс (возраст примерно: 15-16 лет),6.933183775470973,7 - 9-й класс (возраст примерно: 12-14 лет),10.85598615916955,10 - 11-й класс (возраст примерно: 15-16 лет),7.84716472685923,7 - 9-й класс (возраст примерно: 12-14 лет),11.179447712418302,10 - 11-й класс (возраст примерно: 15-16 лет),0.6624,16.56,11.709688296449226,0.9360202601279358,0.9356919166095953,0.022883578506648967,43.699458968335904,0.9154861111111102,0.92,346.7364761291787,386.36805377611506,0.9264285024678888,218.3650615901456,1465.182692633478
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\1f1cfd01-3a8d-4151-b653-5a60241ae130.txt,2444,1985,10.026831826401448,10 - 11-й класс (возраст примерно: 15-16 лет),7.27340506329114,7 - 9-й класс (возраст примерно: 12-14 лет),11.117784810126587,10 - 11-й класс (возраст примерно: 15-16 лет),8.235317866242495,7 - 9-й класс (возраст примерно: 12-14 лет),11.448744122965643,10 - 11-й класс (возраст примерно: 15-16 лет),0.7439759036144579,13.555886108726758,9.58545899247321,0.9490543055635946,0.9434533699562205,0.020207419326099093,49.48677433087361,0.9230388692579502,0.9266666666666666,363.09082352941186,1.0,0.9343084641053785,257.962441314554,1556.8027666872426
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\27d7f75d-5e0e-41b9-8daf-a4c235e89b34.txt,2600,2042,10.22697353198948,10 - 11-й класс (возраст примерно: 15-16 лет),7.114579141104295,7 - 9-й класс (возраст примерно: 12-14 лет),10.363251533742329,10 - 11-й класс (возраст примерно: 15-16 лет),7.815274348938724,7 - 9-й класс (возраст примерно: 12-14 лет),10.784068185801928,10 - 11-й класс (возраст примерно: 15-16 лет),0.6693548387096774,12.910048599393795,9.128782910079243,0.9321763546209537,0.9256095904528904,0.026384949392116535,37.90039484778343,0.8755417956656363,0.8857142857142858,203.6198580535778,192.70573202669596,0.9003876161325227,154.7219730941704,1361.8408341076433
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\285403d8-0143-418e-bc71-33a687bb1fe9.txt,2915,2337,10.548267379679139,10 - 11-й класс (возраст примерно: 15-16 лет),8.02118181818182,7 - 9-й класс (возраст примерно: 12-14 лет),10.855828877005347,10 - 11-й класс (возраст примерно: 15-16 лет),8.891153770860452,7 - 9-й класс (возраст примерно: 12-14 лет),11.162131016042785,10 - 11-й класс (возраст примерно: 15-16 лет),0.7142857142857143,14.392458342578488,10.177004891982149,0.9439806105834236,0.9398721994822687,0.02147549562300298,46.56469948609117,0.9054901960784307,0.9099999999999999,406.0,394.3833333333333,0.9186631844403742,194.8222748815166,1681.0501105275255
тексты/5ba501ae-79d7-4317-b611-75d7fa3b451d\2edee497-d9ee-4d37-a680-d1d1f82c92fb.txt,3462,2768,12.91514534041525,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),9.84240753259295,10 - 11-й класс (возраст примерно: 15-16 лет),11.536972477064221,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),10.491312178074173,10 - 11-й класс (возраст примерно: 15-16 лет),11.92075374215355,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.6831275720164609,15.059825826000282,10.648904965053097,0.9383994821138553,0.9356671255308495,0.02292849188068888,43.61385847807253,0.878764302059496,0.8733333333333335,289.70289204617177,356.1754108246646,0.9019349730894849,127.41081081081082,1415.8146688810812
