uuid,num_chars,num_letters,num_index_fk,num_grade_fk,num_index_dc,num_grade_dc,num_index_cl,num_grade_cl,num_index_SMOG,num_grade_SMOG,num_index_ari,num_grade_ari,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\0112fc14-f334-407b-8dff-c5864443ae8d.txt,1265,1033,11.366739263803673,10 - 11-й класс (возраст примерно: 15-16 лет),8.788004601226994,7 - 9-й класс (возраст примерно: 12-14 лет),11.949141104294483,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),9.934710415586288,10 - 11-й класс (возраст примерно: 15-16 лет),12.44239493865031,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),0.8034682080924855,10.567974305648907,7.472686294929538,0.9575382728971282,0.9461402505564641,0.018972677570631875,52.70737334133147,0.8922580645161289,0.8866666666666667,246.47411764705882,1.0,0.9264846767132795,228.8923076923077,1637.3074122889604
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\04b0f8ce-5a4f-4dea-9ba6-6f6b31e20a3a.txt,799,617,3.054521739130429,1 - 3-й класс (возраст примерно: 6-8 лет),3.0530000000000004,1 - 3-й класс (возраст примерно: 6-8 лет),4.613478260869567,4 - 6-й класс (возраст примерно: 9-11 лет),3.278332903114754,1 - 3-й класс (возраст примерно: 6-8 лет),4.696760869565217,4 - 6-й класс (возраст примерно: 9-11 лет),0.6814814814814815,7.918099285579608,5.598941698941698,0.9218216677534484,0.892363097510785,0.036697691884113225,27.249670174295332,0.8383720930232565,0.8,73.01028143389786,80.78805031446541,0.8442520501307339,92.29591836734694,852.1335073980024
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\0831e698-24a1-4711-bfa2-654113f9c99b.txt,1021,783,9.92667299270073,10 - 11-й класс (возраст примерно: 15-16 лет),10.992654744525549,10 - 11-й класс (возраст примерно: 15-16 лет),8.549562043795621,7 - 9-й класс (возраст примерно: 12-14 лет),11.911652498703544,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),8.580806204379556,7 - 9-й класс (возраст примерно: 12-14 лет),0.6094674556213018,7.923076923076923,5.602461420170338,0.9034737810216467,0.8732816316138436,0.04332635891154593,23.080637863928892,0.7170000000000006,0.7333333333333334,56.36088684712351,43.14738461538461,0.7902681583650395,57.01204819277108,956.1347107300347
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\0a75e8f5-d2b7-4c95-8048-9ae2304b8d79.txt,1658,1353,10.154183052241876,10 - 11-й класс (возраст примерно: 15-16 лет),8.487205470999589,7 - 9-й класс (возраст примерно: 12-14 лет),9.85778280542987,10 - 11-й класс (возраст примерно: 15-16 лет),9.089856193546446,7 - 9-й класс (возраст примерно: 12-14 лет),10.102546380090494,10 - 11-й класс (возраст примерно: 15-16 лет),0.8205128205128205,12.551432648843777,8.875203139603665,0.9637371038025598,0.9571777306690455,0.015305864209891029,65.3344356311338,0.9147027027027018,0.905,365.03999999999996,1.0,0.9456345717652473,309.78409090909093,1895.3726859281144
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\11211083-36d8-48a9-be18-59734b6815af.txt,519,431,11.847966386554617,1 - 3 курсы ВУЗа (возраст примерно: 17-19 лет),5.899058823529412,4 - 6-й класс (возраст примерно: 9-11 лет),10.92735294117648,10 - 11-й класс (возраст примерно: 15-16 лет),6.733284051593626,7 - 9-й класс (возраст примерно: 12-14 лет),11.362210084033613,10 - 11-й класс (возраст примерно: 15-16 лет),0.9571428571428572,8.008031682540437,5.662533506681061,0.989689850132146,0.9830806217113831,0.00558786018100926,178.959381159638,0.9961904761904763,0.98,457.3333333333338,1.0,0.9745341614906803,805.0,4120.718956031838
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\185d35ec-c397-437c-a190-db38575582ff.txt,3909,3037,5.06259721925133,4 - 6-й класс (возраст примерно: 9-11 лет),4.797120213903744,4 - 6-й класс (возраст примерно: 9-11 лет),4.7653654188948344,4 - 6-й класс (возраст примерно: 9-11 лет),5.452034184761638,4 - 6-й класс (возраст примерно: 9-11 лет),4.946945704099818,4 - 6-й класс (возраст примерно: 9-11 лет),0.6065040650406504,15.040811688873795,10.63545993975255,0.9221312267665495,0.9209587485332622,0.027921211958535454,35.815064241661695,0.8880918727915171,0.8833333333333334,185.5941679082559,216.99066087565052,0.9100389310837278,180.5019120458891,1316.7726812458611
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\329a19d8-8eb0-4041-8b94-7caabbb2b3dc.txt,1185,932,3.2905032967032923,1 - 3-й класс (возраст примерно: 6-8 лет),6.12386043956044,4 - 6-й класс (возраст примерно: 9-11 лет),3.9886813186813264,4 - 6-й класс (возраст примерно: 9-11 лет),6.898328263160288,7 - 9-й класс (возраст примерно: 12-14 лет),3.5692532967032875,4 - 6-й класс (возраст примерно: 9-11 лет),0.7225130890052356,9.985329553035418,7.060694239333782,0.9381182744306776,0.9225357354982145,0.027128812080459933,36.86117906800165,0.8838028169014086,0.8933333333333334,192.72981132075472,11.2,0.8936067475459247,151.20833333333334,1210.702325693025
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\368af2f3-7c2d-4e83-a476-3b4c571be880.txt,1086,862,5.395315789473685,4 - 6-й класс (возраст примерно: 9-11 лет),4.362947368421053,4 - 6-й класс (возраст примерно: 9-11 лет),6.485789473684214,4 - 6-й класс (возраст примерно: 9-11 лет),5.018299507879934,4 - 6-й класс (возраст примерно: 9-11 лет),6.704789473684215,7 - 9-й класс (возраст примерно: 12-14 лет),0.7604790419161677,9.827555053183538,6.9491308205902005,0.9465011611983817,0.9311618747871846,0.024069124198282027,41.54700402731631,0.8886440677966105,0.9133333333333334,195.223,1.0,0.9016727653474401,144.38541666666666,1176.187465982263
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\3746ffcc-0ac4-46e3-92c2-e726221f1ece.txt,2017,1532,1.9169767798208355,1 - 3-й класс (возраст примерно: 6-8 лет),2.7523725247524755,1 - 3-й класс (возраст примерно: 6-8 лет),1.0099339933993434,1 - 3-й класс (возраст примерно: 6-8 лет),3.175819892444221,1 - 3-й класс (возраст примерно: 6-8 лет),2.128926479255071,1 - 3-й класс (возраст примерно: 6-8 лет),0.6666666666666666,12.220201853215574,8.640987597877146,0.9302978579988612,0.9220406755864419,0.027590174694648886,36.24478681513931,0.8753310104529635,0.89,206.78149920255186,159.3609716799901,0.8961850022276328,147.32984293193718,1131.7999962706501
тексты/98fe1f4d-d2e9-495d-9ec1-b2f75fc0aa1e\3d45a9b0-7216-48fb-b476-bdb0a80715ba.txt,793,617,2.7504895104895155,1 - 3-й класс (возраст примерно: 6-8 лет),4.500209790209791,4 - 6-й класс (возраст примерно: 9-11 лет),2.812307692307698,1 - 3-й класс (возраст примерно: 6-8 лет),4.6671419731257995,4 - 6-й класс (возраст примерно: 9-11 лет),1.9859230769230791,1 - 3-й класс (возраст примерно: 6-8 лет),0.7835820895522388,9.07061846860428,6.413895828706024,0.9502067319972711,0.9323287094548351,0.0234089397198516,42.7187225037777,0.8945882352941179,0.91,173.36827586206903,1.0,0.8985917619531846,162.01818181818183,1595.3285987736062
